timestamp,hour_of_day,day_of_week,heart_rate,body_temperature,accel_x,accel_y,accel_z,accel_magnitude,gyro_x,gyro_y,gyro_z,latitude,longitude,ambient_temperature,humidity,activity_level,step_count,sleep_indicator,movement_intensity,movement_type,distance_meters,calories_burned,stress_score,home_distance_m,geofence_alert,health_status,pet_id,pet_type,pet_size
2025-12-07 23:22:58.190879,23,6,76.2,38.49,0.169,0.107,9.79,9.792,0.44,-0.25,-0.08,28.613917,77.20909,17.9,49.8,2.7,0.0,1,0.0,resting,0.0,0.03,17.1,9.0,0,healthy,pet_001,dog,medium
2025-12-07 23:37:58.190879,23,6,82.0,38.06,0.512,0.501,9.952,9.978,3.82,-2.33,0.63,28.613843,77.20917,18.0,37.6,7.6,0.0,1,0.0,resting,11.33,0.1,21.5,17.8,0,healthy,pet_001,dog,medium
2025-12-07 23:52:58.190879,23,6,94.7,38.11,0.345,0.398,9.709,9.723,-0.81,-0.22,-0.68,28.61381,77.209213,15.6,39.6,7.0,0.0,1,0.4,resting,5.51,0.09,17.7,23.0,0,healthy,pet_001,dog,medium
2025-12-08 00:07:58.190879,0,0,89.3,37.5,0.339,0.324,9.774,9.785,1.42,-1.1,1.01,28.613918,77.209193,18.3,52.2,7.5,4.0,1,0.6,resting,12.12,0.09,20.6,18.9,0,healthy,pet_001,dog,medium
2025-12-08 00:22:58.190879,0,0,93.2,38.3,0.105,0.153,9.815,9.817,0.08,-0.02,0.13,28.61391,77.209176,15.9,44.5,2.2,0.0,1,0.3,resting,1.84,0.03,19.0,17.2,0,healthy,pet_001,dog,medium
2025-12-08 00:37:58.190879,0,0,78.6,37.54,0.274,0.098,9.702,9.706,-1.49,2.69,-0.08,28.613981,77.209183,18.2,59.8,6.3,1.0,1,0.5,resting,7.93,0.08,22.7,20.0,0,healthy,pet_001,dog,medium
2025-12-08 00:52:58.190879,0,0,78.2,38.39,0.328,0.178,9.811,9.819,0.37,-0.85,1.31,28.614018,77.209201,18.1,53.3,5.5,5.0,1,0.2,resting,4.4,0.07,24.3,23.6,0,healthy,pet_001,dog,medium
2025-12-08 01:07:58.190879,1,0,77.2,38.35,0.184,0.154,9.761,9.764,-2.09,0.39,-0.02,28.614015,77.209065,17.0,46.9,4.1,2.0,1,0.7,resting,13.26,0.05,17.4,14.2,0,healthy,pet_001,dog,medium
2025-12-08 01:22:58.190879,1,0,82.6,38.22,0.378,0.392,9.782,9.797,3.73,-5.63,-0.19,28.614032,77.2091,18.1,50.1,9.5,2.0,1,0.7,resting,3.87,0.12,18.2,17.6,0,healthy,pet_001,dog,medium
2025-12-08 01:37:58.190879,1,0,80.4,38.65,0.293,0.331,9.713,9.723,-0.43,-0.43,-0.46,28.614032,77.20911,17.3,56.2,5.7,5.0,1,1.5,resting,0.96,0.07,15.2,18.1,0,healthy,pet_001,dog,medium
2025-12-08 01:52:58.190879,1,0,66.7,37.89,0.121,0.156,9.783,9.785,-0.91,-1.48,-0.37,28.613994,77.209084,17.8,57.0,2.2,0.0,1,0.6,resting,4.84,0.03,8.3,13.3,0,healthy,pet_001,dog,medium
2025-12-08 02:07:58.190879,2,0,70.0,38.0,0.265,0.3,9.776,9.784,4.21,4.09,0.52,28.614084,77.208971,16.2,42.5,5.4,0.0,1,1.2,resting,14.81,0.07,7.6,20.6,0,healthy,pet_001,dog,medium
2025-12-08 02:22:58.190879,2,0,91.1,37.89,0.145,0.13,9.8,9.802,0.29,-0.41,0.01,28.614125,77.208989,18.6,42.8,2.9,0.0,1,0.0,resting,4.87,0.04,19.3,25.0,0,healthy,pet_001,dog,medium
2025-12-08 02:37:58.190879,2,0,85.4,38.05,0.143,0.139,9.732,9.734,-0.53,-0.79,0.01,28.61407,77.209031,18.4,46.1,4.6,2.0,1,0.4,resting,7.38,0.06,24.8,19.1,0,healthy,pet_001,dog,medium
2025-12-08 02:52:58.190879,2,0,75.4,38.27,0.183,0.197,9.79,9.794,-0.52,1.25,-0.15,28.614079,77.209079,19.9,60.3,3.9,5.0,1,0.8,resting,4.76,0.05,14.0,21.3,0,healthy,pet_001,dog,medium
2025-12-08 03:07:58.190879,3,0,92.1,38.31,0.123,0.347,9.796,9.803,-2.0,-0.29,0.57,28.614028,77.209085,19.8,43.7,4.2,1.0,1,0.3,resting,5.64,0.05,22.0,16.5,0,healthy,pet_001,dog,medium
2025-12-08 03:22:58.190879,3,0,70.9,38.31,0.283,0.342,9.8,9.81,-0.64,0.63,1.54,28.614054,77.208984,18.9,54.3,5.3,0.0,1,1.3,resting,10.21,0.07,25.3,17.2,0,healthy,pet_001,dog,medium
2025-12-08 03:37:58.190879,3,0,96.6,38.74,0.22,0.241,9.801,9.806,3.7,0.01,-0.46,28.614072,77.208861,19.8,37.9,5.5,0.0,1,0.3,resting,12.25,0.07,26.3,23.5,0,healthy,pet_001,dog,medium
2025-12-08 03:52:58.190879,3,0,94.9,38.26,0.395,0.178,9.833,9.843,-0.9,-0.18,-0.61,28.614051,77.208917,18.5,49.1,5.8,6.0,1,0.9,resting,6.01,0.07,30.0,18.6,0,healthy,pet_001,dog,medium
2025-12-08 04:07:58.190879,4,0,97.6,38.22,0.566,0.504,9.861,9.89,-4.19,-4.03,0.01,28.613975,77.209032,20.1,61.3,7.7,5.0,1,0.4,resting,13.99,0.1,24.9,8.9,0,healthy,pet_001,dog,medium
2025-12-08 04:22:58.190879,4,0,97.6,38.53,0.145,0.184,9.788,9.791,2.15,-1.92,0.6,28.614014,77.208976,20.6,20.6,4.2,3.0,1,0.6,resting,6.87,0.05,26.8,12.8,0,healthy,pet_001,dog,medium
2025-12-08 04:37:58.190879,4,0,95.7,38.26,0.18,0.114,9.765,9.767,0.42,-0.09,0.54,28.613956,77.209036,19.2,51.0,3.0,3.0,1,1.0,resting,8.69,0.04,23.0,7.1,0,healthy,pet_001,dog,medium
2025-12-08 04:52:58.190879,4,0,103.4,38.33,0.202,0.304,9.808,9.814,0.15,1.61,0.63,28.613922,77.209046,21.1,46.7,4.6,0.0,1,0.9,resting,3.85,0.06,37.2,5.1,0,healthy,pet_001,dog,medium
2025-12-08 05:07:58.190879,5,0,102.8,38.45,0.14,0.179,9.752,9.755,0.65,-1.75,0.65,28.61395,77.209097,22.3,53.6,2.8,0.0,1,0.1,resting,5.9,0.04,28.7,11.0,0,healthy,pet_001,dog,medium
2025-12-08 05:22:58.190879,5,0,107.1,38.34,4.019,6.632,9.751,12.459,12.17,-19.58,-8.67,28.612933,77.210157,20.5,68.3,89.1,34.0,0,9.4,running,153.07,1.11,43.9,155.7,1,healthy,pet_001,dog,medium
2025-12-08 05:37:58.190879,5,0,115.4,38.38,5.532,4.274,10.39,12.523,1.84,-14.49,0.11,28.613138,77.208864,22.0,53.2,91.7,43.0,0,9.0,running,128.07,1.15,44.3,85.6,0,healthy,pet_001,dog,medium
2025-12-08 05:52:58.190879,5,0,98.4,38.38,1.499,3.001,9.369,9.951,1.47,-15.09,10.91,28.611604,77.210623,21.5,58.2,60.7,26.0,0,6.0,active,241.58,0.76,35.2,299.9,1,healthy,pet_001,dog,medium
2025-12-08 06:07:58.190879,6,0,120.7,38.22,4.279,2.519,9.813,10.998,29.74,33.93,0.97,28.612656,77.209637,24.1,43.6,73.2,44.0,0,6.6,running,151.18,0.92,46.6,151.4,1,healthy,pet_001,dog,medium
2025-12-08 06:22:58.190879,6,0,122.8,38.6,3.573,1.979,8.917,9.807,37.59,-1.01,-24.96,28.613957,77.210961,23.4,44.5,65.7,28.0,0,6.4,active,193.71,0.82,44.8,191.2,1,healthy,pet_001,dog,medium
2025-12-08 06:37:58.190879,6,0,105.5,38.34,4.453,4.416,10.536,12.261,31.39,-11.73,-5.91,28.613224,77.210494,24.2,54.5,72.0,40.0,0,7.1,running,93.26,0.9,41.3,163.7,1,healthy,pet_001,dog,medium
2025-12-08 06:52:58.190879,6,0,122.1,38.03,4.567,3.912,9.312,11.085,-42.07,74.8,-6.35,28.613725,77.210314,24.3,39.8,94.5,52.0,0,9.1,running,58.29,1.18,48.0,129.5,1,healthy,pet_001,dog,medium
2025-12-08 07:07:58.190879,7,0,115.3,38.47,1.961,3.359,10.504,11.201,-4.05,-3.2,3.06,28.614716,77.211141,25.1,47.9,63.1,33.0,0,6.8,active,136.36,0.79,38.5,227.4,1,healthy,pet_001,dog,medium
2025-12-08 07:22:58.190879,7,0,114.7,38.38,3.895,2.313,9.119,10.182,7.67,-10.65,11.13,28.613676,77.211081,21.8,53.0,71.4,34.0,0,6.7,running,115.61,0.89,42.2,204.3,1,healthy,pet_001,dog,medium
2025-12-08 07:37:58.190879,7,0,135.9,38.21,2.777,2.965,9.889,10.691,42.92,10.17,4.71,28.613684,77.210646,24.3,54.0,60.7,30.0,0,5.8,active,42.37,0.76,46.1,162.2,1,healthy,pet_001,dog,medium
2025-12-08 07:52:58.190879,7,0,114.1,37.78,2.545,3.821,9.181,10.265,1.07,-28.0,9.67,28.613368,77.210714,23.2,47.9,54.0,27.0,0,5.0,active,35.72,0.67,41.7,177.1,1,healthy,pet_001,dog,medium
2025-12-08 08:07:58.190879,8,0,106.5,38.62,2.088,4.419,9.699,10.861,-1.01,-24.75,6.84,28.613475,77.210291,23.9,34.9,55.2,31.0,0,5.6,active,42.93,0.69,30.8,134.3,1,healthy,pet_001,dog,medium
2025-12-08 08:22:58.190879,8,0,104.2,38.53,2.035,2.112,9.132,9.592,-18.27,-24.56,-2.87,28.613414,77.209865,23.4,54.5,54.4,26.0,0,5.7,active,42.03,0.68,33.6,100.1,1,healthy,pet_001,dog,medium
2025-12-08 08:37:58.190879,8,0,100.9,38.11,2.471,2.702,9.985,10.635,-10.41,19.11,4.77,28.613602,77.209884,25.8,42.8,47.5,17.0,0,4.5,active,21.02,0.59,28.1,92.2,0,healthy,pet_001,dog,medium
2025-12-08 08:52:58.190879,8,0,112.8,38.43,3.927,3.854,8.526,10.147,11.24,8.1,-3.66,28.613524,77.209733,26.3,46.8,53.9,26.0,0,6.1,active,17.07,0.67,33.4,82.7,0,healthy,pet_001,dog,medium
2025-12-08 09:07:58.190879,9,0,122.2,38.5,1.788,2.044,9.513,9.894,15.08,-36.47,5.54,28.614014,77.209881,26.3,60.1,55.3,31.0,0,5.6,active,56.25,0.69,54.7,86.8,0,healthy,pet_001,dog,medium
2025-12-08 09:22:58.190879,9,0,126.2,38.9,2.838,4.364,10.617,11.824,32.37,3.17,-7.69,28.613365,77.209316,27.1,51.3,64.8,35.0,0,7.3,active,90.66,0.81,43.6,66.8,0,healthy,pet_001,dog,medium
2025-12-08 09:37:58.190879,9,0,119.5,38.52,2.195,2.287,10.186,10.668,-6.07,-7.94,4.56,28.612845,77.208967,25.4,40.1,47.5,24.0,0,5.4,active,66.97,0.59,40.1,117.1,1,healthy,pet_001,dog,medium
2025-12-08 09:52:58.190879,9,0,114.0,38.53,1.022,0.895,10.06,10.151,3.75,1.0,-5.0,28.612924,77.208909,24.5,54.1,19.4,15.0,0,1.4,walking,10.48,0.24,36.9,108.7,1,healthy,pet_001,dog,medium
2025-12-08 10:07:58.190879,10,0,101.0,38.65,1.864,1.916,10.484,10.82,2.08,-4.62,-2.1,28.613591,77.208792,28.0,53.9,32.4,16.0,0,3.6,walking,74.88,0.41,28.2,39.8,0,healthy,pet_001,dog,medium
2025-12-08 10:22:58.190879,10,0,113.4,38.27,1.371,3.205,8.982,9.635,-36.97,-28.22,-0.59,28.614117,77.210415,27.3,41.7,72.9,30.0,0,7.4,running,168.6,0.91,41.7,140.0,1,healthy,pet_001,dog,medium
2025-12-08 10:37:58.190879,10,0,103.5,38.58,2.616,3.996,8.541,9.786,-27.77,22.98,4.85,28.614687,77.210617,27.4,61.9,58.7,28.0,0,6.0,active,66.28,0.73,42.5,180.2,1,healthy,pet_001,dog,medium
2025-12-08 10:52:58.190879,10,0,100.4,38.73,2.119,2.688,10.579,11.119,-0.39,9.52,0.19,28.613819,77.210397,26.1,63.5,48.7,27.0,0,4.5,active,98.78,0.61,34.4,136.4,1,healthy,pet_001,dog,medium
2025-12-08 11:07:58.190879,11,0,114.0,38.24,2.218,2.827,8.803,9.508,20.6,-7.88,-10.36,28.613794,77.210897,26.6,55.6,53.2,27.0,0,5.5,active,48.84,0.66,51.8,185.2,1,healthy,pet_001,dog,medium
2025-12-08 11:22:58.190879,11,0,116.6,38.78,1.494,0.755,9.729,9.871,10.67,3.48,-0.79,28.613882,77.210707,25.6,58.5,23.5,6.0,0,1.9,walking,20.94,0.29,38.4,166.3,1,healthy,pet_001,dog,medium
2025-12-08 11:37:58.190879,11,0,126.0,38.15,0.463,1.117,9.59,9.666,4.98,-4.45,0.32,28.613906,77.210525,27.2,42.9,17.7,10.0,0,2.1,walking,17.9,0.22,41.7,148.6,1,healthy,pet_001,dog,medium
2025-12-08 11:52:58.190879,11,0,97.2,38.15,1.257,0.373,10.026,10.111,-5.05,5.42,5.36,28.613824,77.210333,27.7,64.6,21.6,14.0,0,1.5,walking,20.77,0.27,24.1,130.2,1,healthy,pet_001,dog,medium
2025-12-08 12:07:58.190879,12,0,124.0,38.71,1.848,1.119,9.774,10.01,9.85,6.19,-7.06,28.613805,77.210235,25.5,34.3,26.5,8.0,0,2.7,walking,9.83,0.33,30.3,120.8,1,healthy,pet_001,dog,medium
